MultQual,GrLivArea,GarageCars,SumSF,FullBath,Age
45.0,864.0,1.0,864.0,1.0,36.0
54.0,1456.0,2.0,855.0,2.0,33.0
175.0,1726.0,3.0,1726.0,2.0,0.0
160.0,1713.0,3.0,1713.0,2.0,5.0
36.0,1121.0,2.0,1121.0,2.0,7.0
54.0,1279.0,2.0,1237.5,2.0,31.0
54.0,1310.0,1.0,741.0,2.0,82.0
96.0,848.0,2.0,848.0,1.0,4.0
45.0,1284.0,1.0,720.0,1.0,62.0
63.0,1442.0,2.0,1433.0,2.0,19.0
45.0,1696.0,1.0,1418.0,1.0,45.0
36.0,1100.0,1.0,1100.0,1.0,48.0
84.0,2062.0,2.0,1168.5,2.0,19.0
54.0,1092.0,2.0,1092.0,1.0,44.0
45.0,864.0,0.0,864.0,1.0,83.0
72.0,1212.0,2.0,1212.0,2.0,1.0
84.0,1852.0,2.0,916.0,2.0,0.0
45.0,990.0,2.0,990.0,1.0,11.0
54.0,1392.0,1.0,689.0,1.0,33.0
60.0,1236.0,1.0,1153.0,1.0,49.0
112.0,1436.0,2.0,1436.0,2.0,4.0
112.0,1954.0,2.0,967.5,1.0,69.0
112.0,1248.0,2.0,1248.0,2.0,1.0
112.0,1498.0,2.0,1498.0,2.0,0.0
96.0,2267.0,2.0,1010.0,2.0,7.0
54.0,1552.0,2.0,762.0,2.0,31.0
250.0,2392.0,3.0,2392.0,2.0,6.0
54.0,987.0,1.0,483.0,1.0,38.0
45.0,912.0,1.0,912.0,1.0,43.0
112.0,1555.0,2.0,1464.0,2.0,4.0
54.0,1194.0,1.0,1194.0,1.0,51.0
160.0,2794.0,3.0,1476.0,2.0,14.0
54.0,987.0,1.0,483.0,1.0,34.0
45.0,894.0,1.0,894.0,1.0,34.0
96.0,1960.0,2.0,860.0,2.0,8.0
54.0,987.0,1.0,483.0,1.0,37.0
112.0,1414.0,2.0,1414.0,2.0,6.0
112.0,1744.0,2.0,1005.0,2.0,17.0
160.0,1694.0,3.0,1694.0,2.0,0.0
54.0,1487.0,1.0,766.5,1.0,65.0
128.0,1566.0,2.0,1566.0,2.0,2.0
60.0,866.0,0.0,776.0,1.0,62.0
45.0,1440.0,1.0,714.5,1.0,106.0
54.0,1217.0,1.0,626.0,1.0,29.0
112.0,2110.0,2.0,1085.0,2.0,16.0
63.0,1872.0,2.0,1858.5,2.0,18.0
36.0,1928.0,1.0,964.0,2.0,96.0
54.0,1375.0,2.0,1371.0,1.0,52.0
112.0,1668.0,2.0,840.0,2.0,4.0
96.0,2144.0,2.0,1444.0,2.0,49.0
18.0,1306.0,0.0,1017.0,1.0,70.0
96.0,1640.0,2.0,798.0,2.0,4.0
72.0,1302.0,1.0,1302.0,2.0,43.0
45.0,1314.0,1.0,1314.0,1.0,53.0
112.0,2291.0,2.0,990.0,2.0,7.0
96.0,1728.0,2.0,864.0,2.0,5.0
112.0,1792.0,2.0,963.0,2.0,7.0
45.0,882.0,1.0,441.0,1.0,52.0
54.0,1382.0,2.0,1372.0,1.0,47.0
160.0,2574.0,3.0,1482.0,2.0,0.0
54.0,1212.0,2.0,859.0,1.0,29.0
45.0,1316.0,2.0,926.0,1.0,81.0
45.0,764.0,2.0,722.0,1.0,83.0
72.0,1422.0,2.0,1422.0,2.0,27.0
54.0,1511.0,2.0,802.0,2.0,9.0
60.0,2192.0,1.0,886.0,2.0,69.0
45.0,778.0,1.0,759.0,1.0,68.0
54.0,1113.0,1.0,1128.0,1.0,31.0
128.0,1939.0,3.0,1095.0,2.0,0.0
63.0,1363.0,2.0,1374.0,1.0,54.0
128.0,2270.0,3.0,1158.0,2.0,11.0
54.0,1632.0,1.0,1436.0,2.0,51.0
45.0,816.0,1.0,816.0,1.0,25.0
140.0,1548.0,2.0,952.0,2.0,84.0
112.0,1560.0,2.0,1560.0,2.0,7.0
36.0,864.0,2.0,864.0,1.0,59.0
225.0,2121.0,3.0,2121.0,2.0,1.0
63.0,2022.0,2.0,1158.0,2.0,31.0
112.0,1982.0,2.0,991.0,2.0,18.0
96.0,1262.0,2.0,1262.0,2.0,0.0
112.0,1314.0,2.0,1314.0,2.0,2.0
128.0,1468.0,3.0,1468.0,2.0,1.0
96.0,1575.0,2.0,1575.0,2.0,15.0
112.0,1250.0,2.0,625.0,2.0,1.0
72.0,1734.0,2.0,998.5,1.0,44.0
36.0,858.0,0.0,858.0,1.0,35.0
45.0,900.0,1.0,891.0,1.0,43.0
54.0,1396.0,1.0,698.0,1.0,92.0
128.0,1919.0,2.0,1079.0,2.0,0.0
30.0,1716.0,0.0,858.0,2.0,96.0
45.0,1716.0,1.0,958.0,1.0,60.0
84.0,2263.0,2.0,1131.5,2.0,29.0
54.0,1644.0,2.0,1530.0,1.0,56.0
54.0,1003.0,2.0,1003.0,1.0,22.0
45.0,1558.0,1.0,910.0,1.0,57.0
112.0,1950.0,2.0,975.0,2.0,10.0
72.0,1743.0,2.0,871.5,1.0,39.0
45.0,1336.0,1.0,1250.5,1.0,53.0
128.0,2452.0,2.0,1119.0,2.0,9.0
112.0,1541.0,3.0,1541.0,2.0,5.0
84.0,3493.0,3.0,1572.5,3.0,128.0
128.0,2000.0,3.0,2000.0,2.0,3.0
112.0,2243.0,3.0,911.0,2.0,17.0
36.0,1406.0,0.0,677.0,1.0,88.0
36.0,861.0,2.0,861.0,1.0,69.0
180.0,1944.0,3.0,1920.0,2.0,3.0
72.0,1501.0,2.0,697.0,2.0,13.0
54.0,972.0,1.0,972.0,1.0,61.0
45.0,1118.0,2.0,793.0,1.0,67.0
63.0,2036.0,2.0,2086.0,2.0,44.0
105.0,1641.0,2.0,780.0,1.0,81.0
112.0,1432.0,2.0,716.0,2.0,5.0
140.0,2353.0,2.0,999.0,2.0,29.0
128.0,1959.0,3.0,1088.0,2.0,1.0
112.0,2646.0,3.0,1359.5,2.0,16.0
63.0,1472.0,2.0,1422.0,2.0,29.0
108.0,2596.0,3.0,1249.0,3.0,0.0
128.0,2468.0,3.0,1136.0,2.0,3.0
112.0,2730.0,2.0,1527.5,2.0,21.0
27.0,1163.0,1.0,1162.5,1.0,51.0
112.0,2978.0,2.0,1304.0,2.0,43.0
45.0,803.0,2.0,761.5,1.0,66.0
128.0,1719.0,2.0,1719.0,1.0,15.0
54.0,1383.0,1.0,1383.0,1.0,46.0
72.0,2134.0,2.0,1144.5,2.0,93.0
45.0,1192.0,1.0,596.0,1.0,89.0
45.0,1728.0,1.0,1728.0,2.0,43.0
45.0,1056.0,1.0,1056.0,1.0,49.0
128.0,1629.0,3.0,2417.5,2.0,6.0
112.0,1358.0,2.0,1358.0,2.0,4.0
54.0,1638.0,2.0,943.0,2.0,10.0
45.0,1786.0,2.0,1559.0,2.0,43.0
144.0,1922.0,3.0,1922.0,2.0,2.0
112.0,1536.0,2.0,1536.0,2.0,6.0
112.0,1621.0,2.0,1414.5,2.0,22.0
54.0,1215.0,1.0,1215.0,1.0,51.0
128.0,1908.0,2.0,980.0,2.0,8.0
24.0,841.0,1.0,781.0,1.0,59.0
27.0,1040.0,2.0,520.0,2.0,57.0
225.0,1684.0,2.0,1684.0,2.0,3.0
45.0,1112.0,1.0,536.0,1.0,34.0
36.0,1577.0,1.0,972.0,1.0,67.0
54.0,958.0,1.0,958.0,1.0,47.0
54.0,1478.0,2.0,1478.0,2.0,49.0
112.0,1626.0,2.0,764.0,2.0,5.0
225.0,2728.0,3.0,1848.0,2.0,1.0
225.0,1869.0,2.0,1869.0,2.0,0.0
45.0,1111.0,1.0,616.0,1.0,67.0
54.0,720.0,2.0,672.0,1.0,82.0
54.0,1595.0,1.0,1066.0,1.0,66.0
96.0,1200.0,2.0,1200.0,2.0,12.0
72.0,1167.0,2.0,1162.5,2.0,17.0
45.0,1142.0,2.0,1142.0,1.0,31.0
128.0,1924.0,2.0,1086.0,2.0,8.0
54.0,912.0,2.0,900.0,1.0,29.0
45.0,1505.0,1.0,935.5,1.0,68.0
112.0,1922.0,2.0,247.5,3.0,6.0
72.0,987.0,1.0,483.0,1.0,37.0
54.0,1574.0,2.0,793.0,2.0,30.0
45.0,1344.0,1.0,672.0,1.0,89.0
54.0,1394.0,2.0,1394.0,1.0,46.0
54.0,1431.0,1.0,1265.0,1.0,46.0
45.0,1268.0,1.0,1268.0,1.0,56.0
60.0,1287.0,2.0,1175.0,1.0,51.0
54.0,1664.0,2.0,953.0,2.0,6.0
36.0,1588.0,2.0,560.0,2.0,49.0
54.0,752.0,1.0,748.0,1.0,26.0
45.0,1319.0,1.0,963.5,1.0,56.0
112.0,1928.0,2.0,847.0,2.0,4.0
4.0,904.0,0.0,793.5,0.0,87.0
60.0,914.0,2.0,892.0,1.0,10.0
128.0,2466.0,2.0,1580.0,3.0,3.0
180.0,1856.0,3.0,1856.0,1.0,0.0
54.0,1800.0,2.0,994.5,2.0,9.0
60.0,1691.0,1.0,1026.0,2.0,86.0
112.0,1301.0,2.0,1297.0,2.0,0.0
112.0,1797.0,2.0,939.0,2.0,1.0
54.0,784.0,2.0,784.0,1.0,81.0
96.0,1953.0,2.0,1329.5,2.0,15.0
128.0,1269.0,2.0,1262.5,2.0,6.0
45.0,1184.0,0.0,658.0,1.0,96.0
112.0,1479.0,2.0,1473.5,2.0,9.0
250.0,2332.0,3.0,1712.0,2.0,1.0
45.0,1367.0,1.0,911.0,1.0,108.0
72.0,1961.0,2.0,804.0,2.0,8.0
45.0,882.0,1.0,441.0,1.0,48.0
45.0,1034.0,1.0,735.0,1.0,67.0
45.0,1144.0,1.0,1144.0,1.0,54.0
45.0,894.0,2.0,894.0,1.0,37.0
45.0,1812.0,1.0,870.0,2.0,45.0
112.0,1550.0,2.0,1102.0,2.0,3.0
160.0,1288.0,2.0,1274.0,1.0,12.0
112.0,1310.0,2.0,1310.0,2.0,1.0
45.0,672.0,1.0,672.0,1.0,68.0
54.0,1572.0,2.0,806.0,2.0,12.0
36.0,1620.0,2.0,1450.5,2.0,33.0
54.0,1639.0,1.0,1115.0,1.0,72.0
54.0,1680.0,1.0,840.0,2.0,93.0
112.0,2172.0,3.0,1067.0,2.0,1.0
160.0,2078.0,3.0,1042.0,2.0,1.0
45.0,1056.0,2.0,1056.0,1.0,51.0
140.0,1478.0,2.0,1474.0,2.0,1.0
45.0,1028.0,2.0,1018.0,1.0,83.0
112.0,2097.0,3.0,1080.0,2.0,15.0
112.0,1340.0,2.0,1340.0,2.0,0.0
54.0,1400.0,2.0,672.0,1.0,28.0
54.0,2624.0,3.0,1370.0,2.0,89.0
45.0,1134.0,1.0,756.0,1.0,67.0
45.0,1056.0,1.0,1056.0,1.0,42.0
63.0,1344.0,4.0,1344.0,2.0,11.0
96.0,1602.0,2.0,1602.0,2.0,32.0
45.0,988.0,2.0,988.0,1.0,54.0
128.0,2630.0,3.0,1470.0,2.0,10.0
54.0,1196.0,1.0,1196.0,1.0,52.0
63.0,1389.0,1.0,679.0,1.0,63.0
112.0,1644.0,2.0,1581.0,2.0,20.0
36.0,907.0,1.0,907.0,1.0,51.0
112.0,1208.0,2.0,1208.0,2.0,0.0
72.0,1412.0,2.0,1402.0,2.0,21.0
45.0,1365.0,2.0,765.0,1.0,36.0
54.0,1604.0,2.0,926.0,2.0,11.0
36.0,630.0,0.0,630.0,1.0,36.0
112.0,1661.0,2.0,813.0,2.0,13.0
54.0,1118.0,2.0,691.0,1.0,86.0
72.0,904.0,1.0,894.0,1.0,83.0
60.0,694.0,1.0,567.0,1.0,94.0
72.0,1196.0,2.0,684.0,1.0,89.0
250.0,2402.0,3.0,2748.0,2.0,1.0
24.0,1440.0,0.0,1440.0,2.0,53.0
45.0,1573.0,2.0,1103.0,2.0,78.0
112.0,1258.0,3.0,1258.0,2.0,1.0
112.0,1908.0,2.0,924.0,2.0,14.0
54.0,1689.0,2.0,1562.5,1.0,53.0
96.0,1888.0,2.0,1702.5,2.0,44.0
112.0,1886.0,2.0,943.0,2.0,8.0
54.0,1376.0,1.0,780.0,2.0,69.0
27.0,1183.0,1.0,664.0,1.0,59.0
72.0,813.0,1.0,813.0,1.0,76.0
84.0,1533.0,2.0,1533.0,2.0,31.0
72.0,1756.0,2.0,880.0,2.0,11.0
128.0,1590.0,2.0,777.0,2.0,1.0
63.0,1242.0,2.0,1242.0,1.0,34.0
48.0,1663.0,2.0,1513.5,1.0,54.0
96.0,1666.0,1.0,710.5,1.0,83.0
60.0,1203.0,1.0,844.0,1.0,59.0
96.0,1935.0,2.0,832.0,2.0,0.0
112.0,1135.0,2.0,567.5,1.0,73.0
45.0,864.0,1.0,864.0,1.0,44.0
54.0,1660.0,1.0,782.0,1.0,74.0
45.0,1040.0,0.0,1040.0,2.0,31.0
112.0,1414.0,2.0,1394.5,2.0,2.0
63.0,1277.0,2.0,1277.0,1.0,37.0
60.0,1644.0,1.0,808.0,1.0,65.0
128.0,1634.0,3.0,1630.0,2.0,1.0
96.0,1710.0,2.0,832.0,2.0,15.0
128.0,1502.0,2.0,1495.0,1.0,25.0
63.0,1969.0,2.0,984.5,2.0,30.0
54.0,1072.0,2.0,809.5,1.0,3.0
128.0,1976.0,3.0,1976.0,2.0,1.0
160.0,1652.0,2.0,1573.0,2.0,7.0
45.0,970.0,2.0,970.0,1.0,44.0
72.0,1493.0,2.0,1485.5,2.0,11.0
225.0,2643.0,3.0,2111.0,2.0,1.0
128.0,1718.0,3.0,1711.5,2.0,2.0
36.0,1131.0,2.0,1019.0,1.0,70.0
144.0,1850.0,3.0,1841.5,2.0,2.0
180.0,1792.0,3.0,1792.0,2.0,3.0
140.0,1826.0,1.0,913.0,1.0,94.0
54.0,1216.0,2.0,1216.0,2.0,8.0
60.0,999.0,1.0,999.0,1.0,45.0
80.0,1113.0,1.0,1113.0,1.0,59.0
45.0,1073.0,2.0,1073.0,1.0,42.0
45.0,1484.0,2.0,1484.0,2.0,36.0
45.0,2414.0,2.0,1360.0,2.0,106.0
48.0,630.0,1.0,630.0,1.0,39.0
45.0,1304.0,1.0,440.0,1.0,32.0
36.0,1578.0,1.0,882.0,1.0,65.0
72.0,1456.0,2.0,728.0,2.0,0.0
45.0,1269.0,1.0,1269.0,1.0,48.0
45.0,886.0,1.0,538.0,1.0,71.0
128.0,3228.0,2.0,3214.0,3.0,15.0
63.0,1820.0,1.0,1079.5,2.0,83.0
60.0,899.0,1.0,881.5,1.0,42.0
45.0,912.0,1.0,912.0,1.0,49.0
54.0,1218.0,1.0,672.0,1.0,34.0
112.0,1768.0,2.0,866.0,2.0,3.0
45.0,1214.0,2.0,1214.0,1.0,42.0
63.0,1801.0,2.0,1651.0,2.0,51.0
54.0,1322.0,2.0,855.0,2.0,35.0
45.0,1960.0,2.0,960.0,2.0,57.0
128.0,1911.0,2.0,921.0,2.0,13.0
96.0,1218.0,2.0,1218.0,2.0,0.0
84.0,1378.0,2.0,689.0,2.0,80.0
45.0,1041.0,1.0,1041.0,1.0,50.0
60.0,1363.0,1.0,1185.5,1.0,58.0
112.0,1368.0,2.0,1368.0,2.0,1.0
45.0,864.0,2.0,864.0,1.0,48.0
54.0,1080.0,2.0,1082.0,1.0,24.0
45.0,789.0,1.0,778.5,1.0,81.0
250.0,2020.0,3.0,2013.0,2.0,0.0
112.0,2344.0,3.0,1270.5,2.0,13.0
54.0,1796.0,2.0,838.0,2.0,9.0
112.0,2080.0,1.0,1276.0,1.0,83.0
36.0,1294.0,0.0,347.0,2.0,108.0
54.0,1244.0,1.0,1244.0,1.0,50.0
54.0,1664.0,2.0,1004.0,2.0,59.0
250.0,4676.0,3.0,3138.0,3.0,0.0
112.0,2398.0,3.0,1381.0,2.0,11.0
112.0,1266.0,2.0,1261.5,2.0,1.0
45.0,928.0,1.0,928.0,1.0,51.0
225.0,2713.0,3.0,1464.0,2.0,0.0
36.0,605.0,0.0,566.5,1.0,87.0
72.0,2515.0,2.0,2275.0,3.0,50.0
54.0,1362.0,2.0,681.0,2.0,88.0
45.0,827.0,1.0,413.5,1.0,55.0
4.0,334.0,0.0,167.0,1.0,61.0
128.0,1414.0,2.0,707.0,2.0,2.0
45.0,1347.0,0.0,968.5,1.0,98.0
84.0,1724.0,2.0,880.0,2.0,10.0
36.0,864.0,2.0,864.0,1.0,36.0
45.0,1159.0,1.0,1105.0,1.0,38.0
128.0,1601.0,2.0,1591.0,2.0,9.0
225.0,1838.0,3.0,1838.0,2.0,3.0
128.0,2285.0,3.0,983.0,2.0,7.0
112.0,1680.0,2.0,1665.0,2.0,11.0
63.0,767.0,1.0,745.0,1.0,9.0
112.0,1496.0,2.0,659.0,2.0,0.0
112.0,2183.0,3.0,1290.5,2.0,18.0
54.0,1635.0,2.0,990.0,1.0,84.0
45.0,768.0,2.0,768.0,1.0,37.0
45.0,825.0,2.0,825.0,1.0,53.0
112.0,2094.0,2.0,912.0,2.0,6.0
45.0,928.0,1.0,928.0,1.0,51.0
128.0,1717.0,3.0,1713.0,2.0,3.0
48.0,1126.0,2.0,563.0,2.0,60.0
112.0,2046.0,3.0,1002.0,2.0,5.0
45.0,1048.0,1.0,1020.5,1.0,84.0
45.0,1092.0,1.0,1092.0,1.0,49.0
63.0,1446.0,2.0,729.0,2.0,12.0
112.0,1557.0,2.0,1465.5,2.0,3.0
45.0,1392.0,2.0,1392.0,1.0,53.0
45.0,1389.0,2.0,1389.0,1.0,32.0
45.0,996.0,0.0,996.0,1.0,68.0
54.0,1674.0,2.0,1163.0,2.0,90.0
112.0,2295.0,2.0,1130.5,2.0,14.0
36.0,1647.0,1.0,823.5,1.0,95.0
180.0,2504.0,3.0,1128.0,2.0,3.0
112.0,1535.0,2.0,1526.0,2.0,6.0
128.0,2132.0,2.0,1496.0,1.0,26.0
45.0,943.0,2.0,943.0,1.0,27.0
45.0,1728.0,2.0,1728.0,2.0,43.0
84.0,1692.0,2.0,846.0,2.0,0.0
63.0,1430.0,2.0,579.0,2.0,7.0
45.0,1109.0,1.0,474.0,1.0,36.0
63.0,1477.0,1.0,869.0,2.0,81.0
45.0,1795.0,1.0,1050.0,2.0,54.0
72.0,1429.0,2.0,1286.5,1.0,47.0
200.0,2042.0,3.0,2042.0,2.0,1.0
54.0,816.0,0.0,816.0,1.0,17.0
200.0,2775.0,2.0,1379.0,3.0,115.0
48.0,1573.0,1.0,936.5,1.0,74.0
128.0,2028.0,3.0,1948.0,2.0,1.0
36.0,838.0,1.0,827.0,1.0,90.0
45.0,860.0,2.0,850.0,1.0,27.0
75.0,1473.0,1.0,1455.0,1.0,41.0
45.0,935.0,1.0,760.5,1.0,78.0
112.0,1582.0,2.0,770.0,2.0,4.0
250.0,2296.0,3.0,1725.0,2.0,1.0
45.0,816.0,2.0,816.0,1.0,26.0
96.0,848.0,2.0,848.0,1.0,6.0
45.0,924.0,1.0,924.0,1.0,33.0
128.0,1826.0,3.0,1820.0,2.0,1.0
